timestamp,rss_mb,vsz_mb,cpu_pct
23:20:31,359.13,10130.71,64.4
23:20:32,357.1,10128.68,64.4
23:20:33,359.9,10131.46,64.4
23:20:34,356.58,10128.16,64.4
23:20:35,360.14,10131.71,64.3
23:20:36,358.88,10130.45,64.4
23:20:37,360.69,10132.22,64.4
23:20:38,358.91,10130.45,64.5
23:20:39,359.68,10131.21,64.5
23:20:40,360.18,10131.71,64.5
23:20:41,359.92,10131.46,64.5
23:20:42,360.14,10131.71,64.7
23:20:43,357.63,10128.92,64.7
23:20:44,361.16,10132.22,64.7
23:20:45,359.13,10130.19,64.7
23:20:46,360.16,10131.21,64.8
23:20:47,360.59,10131.46,64.9
23:20:48,361.36,10132.47,64.9
23:20:49,361.36,10132.47,64.9
23:20:50,358.33,10129.43,64.9
23:20:51,357.82,10128.92,64.9
23:20:52,361.38,10132.47,64.9
23:20:53,358.59,10129.68,64.9
23:20:54,361.38,10132.47,65
23:20:55,357.82,10128.92,65
23:20:56,361.38,10132.47,65
23:20:57,358.22,10129.42,64.9
23:20:58,358.32,10129.42,65
23:20:59,359.08,10130.17,65
23:21:00,359.58,10130.67,65
23:21:01,359.58,10130.67,65
23:21:02,359.58,10130.67,64.9
23:21:03,359.58,10130.67,64.9
23:21:04,360.09,10131.18,65
23:21:05,360.34,10131.67,65
23:21:06,360.84,10132.17,65.1
23:21:07,361.09,10132.42,65.1
23:21:08,361.09,10132.42,65
23:21:09,361.09,10132.42,65
23:21:10,361.09,10132.42,65.1
23:21:11,361.09,10132.42,65.1
23:21:12,360.58,10131.91,65.1
23:21:13,361.85,10133.18,65.1
23:21:14,361.09,10132.42,65
23:21:15,361.09,10132.42,65
23:21:16,361.34,10132.67,65
23:21:17,361.09,10132.42,65.1
23:21:18,361.08,10132.42,65.1
23:21:19,361.08,10132.42,65.2
23:21:20,363.11,10134.45,65.2
23:21:21,362.6,10133.94,65.2
23:21:22,361.59,10132.93,65.3
